Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb,fk_profile
4371.794871794871,1179.4871794871794,-0.7229655380741247,-41.42287406505197,-25.01530041869571,17.87270793589646,fk_minus30pct
4461.538461538461,1179.4871794871794,-0.7254276718023833,-41.563943936278,-25.178425080663537,17.965786563642904,fk_minus30pct
4551.282051282051,1179.4871794871794,-0.7277482748738922,-41.696904698200555,-25.332588092651388,18.053565381676698,fk_minus30pct
4641.025641025641,1179.4871794871794,-0.7299378512093796,-41.8223581811457,-25.478415395294707,18.13643130597585,fk_minus30pct
4730.7692307692305,1179.4871794871794,-0.7320059652766134,-41.94085238874984,-25.61648133417389,18.214737564896684,fk_minus30pct
4820.51282051282,1179.4871794871794,-0.7339613387326578,-42.05288703515309,-25.747313396783124,18.28880701846158,fk_minus30pct
4910.25641025641,1179.4871794871794,-0.7358119360411519,-42.158918450508075,-25.87139649405341,18.358935124761913,fk_minus30pct
5000.0,1179.4871794871794,-0.7375650404130119,-42.25936393206158,-25.989176827741478,18.425392591611757,fk_minus30pct
1500.0,1358.974358974359,-0.3068826721014782,-17.583081917111834,-4.672009111446462,3.4725549526964725,fk_minus30pct
1589.7435897435898,1358.974358974359,-0.33472642593538193,-19.178411497595725,-5.549978299149638,3.8874816684516014,fk_minus30pct
1679.4871794871794,1358.974358974359,-0.3617371015708687,-20.726009213305957,-6.471652418251928,4.318932688326512,fk_minus30pct
1769.2307692307693,1358.974358974359,-0.3876861629098234,-22.212780910354155,-7.421372277889427,4.759086432053837,fk_minus30pct
1858.974358974359,1358.974358974359,-0.4124054164913151,-23.629089813287276,-8.384065095222148,5.200667826893296,fk_minus30pct
1948.7179487179487,1358.974358974359,-0.43578436462668957,-24.968604870899476,-9.346077604476843,5.637326210189671,fk_minus30pct
2038.4615384615386,1358.974358974359,-0.4577638717501368,-26.22793786485073,-10.295701864940677,6.0638408794483825,fk_minus30pct
2128.205128205128,1358.974358974359,-0.47832776202632193,-27.406161988046254,-11.223411309488917,6.476175615899583,fk_minus30pct
2217.948717948718,1358.974358974359,-0.4974937592064738,-28.504292736628592,-12.12186396783781,6.871420889242954,fk_minus30pct
2307.6923076923076,1358.974358974359,-0.5153048007287068,-29.524790244584807,-12.985744310712244,7.247665890399363,fk_minus30pct
2397.4358974358975,1358.974358974359,-0.5318213540196006,-30.471119040255935,-13.811511526690424,7.60383695548715,fk_minus30pct
2487.1794871794873,1358.974358974359,-0.5471150227043541,-31.3473817091637,-14.597108706249806,7.939529434785951,fk_minus30pct
