Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb,fk_profile
1679.4871794871794,1358.974358974359,-0.4503096188801457,-25.80084063597696,-9.968761434690787,5.917505677155927,central
1769.2307692307693,1358.974358974359,-0.4753088188143015,-27.233189283407814,-11.084855549708427,6.414864667079147,central
1858.974358974359,1358.974358974359,-0.4983059426851481,-28.550827422146885,-12.16065234136573,6.888394051942051,central
1948.7179487179487,1358.974358974359,-0.5193716378748796,-29.757802849027538,-13.186877100795636,7.33473162899047,central
2038.4615384615386,1358.974358974359,-0.5386118866117303,-30.860187898430997,-14.157846615358238,7.752207787930657,central
2128.205128205128,1358.974358974359,-0.5561528780176042,-31.865212674462818,-15.07076257559783,8.140440517054122,central
2217.948717948718,1358.974358974359,-0.57212969092634,-32.78061662420352,-15.925018270206925,8.499967639670617,central
2307.6923076923076,1358.974358974359,-0.5866783483235976,-33.61419329064815,-16.721587080744538,8.831941626003996,central
2397.4358974358975,1358.974358974359,-0.5999305911560788,-34.37349087403183,-17.462519589710933,9.13789203269423,central
2487.1794871794873,1358.974358974359,-0.6120107060309934,-35.065630472397636,-18.150550632815452,9.419549680090233,central
2576.923076923077,1358.974358974359,-0.6230338255457314,-35.69720869766042,-18.78880454518098,9.678722151839889,central
2666.6666666666665,1358.974358974359,-0.6331052368094026,-36.2742580568093,-19.38058184339605,9.9172094267869,central
2756.4102564102564,1358.974358974359,-0.6423203485041544,-36.80224506466023,-19.929210166902234,10.136749531621538,central
2846.1538461538457,1358.974358974359,-0.6507650646381747,-37.286091658325624,-20.437944110773444,10.338985873526918,central
2935.8974358974356,1358.974358974359,-0.6585163900524346,-37.730209890195205,-20.90990120009124,10.52544975416495,central
3025.6410256410254,1358.974358974359,-0.6656431501423257,-38.138543164948246,-21.348023926420133,10.697553197773635,central
3115.3846153846152,1358.974358974359,-0.6722067485131554,-38.51460965001573,-21.75506014132117,10.856588554582373,central
3205.128205128205,1358.974358974359,-0.6782619150830029,-38.8615451387167,-22.133556062802384,11.00373236798565,central
3294.871794871795,1358.974358974359,-0.6838574167388753,-39.18214376785665,-22.485857697324995,11.140051760925171,central
3384.6153846153848,1358.974358974359,-0.6890367156621741,-39.478895736998325,-22.814117662564982,11.266512155245278,central
3474.358974358974,1358.974358974359,-0.6938385688537101,-39.75402165871476,-23.12030528023703,11.383985536221257,central
3564.102564102564,1358.974358974359,-0.6982975676575582,-40.00950347102914,-23.406218458052365,11.493258754115987,central
3653.846153846154,1358.974358974359,-0.7024446192385494,-40.24711202404299,-23.673496350867353,11.595041547948162,central
3743.5897435897436,1358.974358974359,-0.7063073737293245,-40.46843155365961,-23.9236321284104,11.689974108271656,central
