Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb
1948.7179487179487,1179.4871794871794,-0.5772205702926294,-33.07230252590213,-16.2017388966602,8.288974071428271
2038.4615384615386,1179.4871794871794,-0.5933679912590485,-33.997481597299,-17.093784924661858,8.64298354620709
2128.205128205128,1179.4871794871794,-0.6078722935209522,-34.82851690168814,-17.913494459556933,8.964945927892991
2217.948717948718,1179.4871794871794,-0.6209165000969017,-35.57589488558684,-18.665440386155918,9.257479024632747
2307.6923076923076,1179.4871794871794,-0.6326665322304673,-36.24912213598325,-19.354633600693226,9.523234701236113
2397.4358974358975,1179.4871794871794,-0.6432707905434445,-36.85670138218336,-19.986183026991622,9.764777036501732
2487.1794871794873,1179.4871794871794,-0.6528608137969798,-37.40616924004325,-20.565078238303137,9.984513133404208
2576.923076923077,1179.4871794871794,-0.6615525112300449,-37.904166819762565,-21.096059097371132,10.18465905628817
2666.6666666666665,1179.4871794871794,-0.669447648468188,-38.35652486218475,-21.583545114435953,10.367228273753899
2756.4102564102564,1179.4871794871794,-0.6766353930595568,-38.768352291488156,-22.03160451509486,10.534033876273035
2846.1538461538457,1179.4871794871794,-0.6831938087158513,-39.144121828886355,-22.44394882539923,10.686698718044736
2935.8974358974356,1179.4871794871794,-0.6891912402023451,-39.487749340981324,-22.82394316093902,10.826669673045581
3025.6410256410254,1179.4871794871794,-0.6946875633851786,-39.802665462197595,-23.174625583968844,10.95523359617326
3115.3846153846152,1179.4871794871794,-0.6997352942419462,-40.09187913640834,-23.498731138216755,11.073533519275426
3205.128205128205,1179.4871794871794,-0.7043805614872931,-40.358033344277075,-23.79871772687797,11.18258422809364
3294.871794871795,1179.4871794871794,-0.7086639530560102,-40.60345360316648,-24.076792059682116,11.283286762447867
3384.6153846153848,1179.4871794871794,-0.7126212490977585,-40.830189964642486,-24.334934606760626,11.376441631090714
3474.358974358974,1179.4871794871794,-0.7162840546922679,-41.04005326638478,-24.57492296747934,11.462760684774851
